interp_r,interp_d,interp_mp1,interp_mp2,interp_mp3
0,3.721126,11.40336,19.81138,27.11957
10,3.721303,11.42923,19.31003,26.97627
20,3.721345,11.42923,19.13644,26.86602
30,3.72135,11.42249,19.12349,26.8245
40,3.721392,11.42237,19.13026,26.84546
50,3.721444,11.42252,19.12583,26.82683
60,3.721509,11.42254,19.12352,26.84547
70,3.721586,11.4224,19.12585,26.83129
80,3.721674,11.42259,19.12355,26.82455
90,3.721774,11.42248,19.12358,26.83132
100,3.721886,11.42266,19.12591,26.82458
110,3.72201,11.42258,19.12362,26.82444
120,3.722145,11.42259,19.12365,26.82693
130,3.722292,11.4227,19.12355,26.82463
140,3.722451,11.42269,19.12371,26.82697
150,3.722621,11.42274,19.12358,26.82468
160,3.722804,11.42283,19.12365,26.82471
170,3.722998,11.42286,19.12381,26.82705
180,3.723204,11.42298,19.12369,26.82476
190,3.723423,11.423,19.12377,26.82463
200,3.723651,11.42308,19.12394,26.82482
210,3.723893,11.42317,19.12383,26.82486
220,3.724146,11.42324,19.12391,26.82475
230,3.72441,11.42336,19.12409,26.82493
240,3.724687,11.42341,19.12398,26.82481
250,3.724975,11.42351,19.12407,26.82501
260,3.725275,11.4236,19.12426,26.82505
270,3.725587,11.42371,19.12416,26.82493
280,3.72591,11.42384,19.12425,26.82514
290,3.726245,11.42392,19.12444,26.82518
300,3.726593,11.42403,19.12435,26.82509
310,3.726951,11.42415,19.12445,26.82528
320,3.727321,11.42427,19.12458,26.82517
330,3.727703,11.4244,19.12457,26.82527
340,3.728097,11.42452,19.12468,26.82544
350,3.728503,11.42466,19.12481,26.82534
360,3.72892,11.42479,19.12481,26.82555
370,3.729349,11.42493,19.12492,26.82561
380,3.729789,11.42508,19.12506,26.82554
390,3.730242,11.42522,19.12506,26.82574
400,3.730705,11.42537,19.12519,26.82564
410,3.731181,11.42553,19.12533,26.82575
420,3.731668,11.42569,19.12534,26.82594
430,3.732167,11.42585,19.12547,26.82585
440,3.732678,11.42602,19.12562,26.82607
450,3.7332,11.42619,19.12564,26.82599
460,3.733735,11.42636,19.12578,26.82609
470,3.734281,11.42654,19.12585,26.8263
480,3.734838,11.42672,19.12596,26.82622
490,3.735406,11.42691,19.1261,26.82634
500,3.735987,11.4271,19.12619,26.82653
510,3.736579,11.42729,19.1263,26.82646
520,3.737184,11.42749,19.12645,26.82661
530,3.737799,11.42769,19.12654,26.82663
540,3.738426,11.42789,19.12666,26.82674
550,3.739065,11.4281,19.12682,26.82696
560,3.739715,11.42832,19.12691,26.82689
570,3.740377,11.42853,19.12704,26.82703
580,3.74105,11.42875,19.1272,26.82724
590,3.741736,11.42898,19.12731,26.82719
600,3.742433,11.4292,19.12744,26.82734
610,3.743141,11.42944,19.12761,26.82737
620,3.743861,11.42967,19.12772,26.8275
630,3.744592,11.42991,19.12786,26.82766
640,3.745335,11.43016,19.12804,26.82768
650,3.74609,11.4304,19.12816,26.82784
660,3.746856,11.43065,19.12831,26.82789
670,3.747633,11.43091,19.12849,26.82801
680,3.748423,11.43117,19.12861,26.82818
690,3.749224,11.43143,19.12877,26.82822
700,3.750036,11.43169,19.12896,26.82837
710,3.750859,11.43196,19.12909,26.82854
720,3.751695,11.43224,19.12925,26.82857
730,3.752541,11.43252,19.12945,26.82874
740,3.753399,11.4328,19.12959,26.8288
750,3.754269,11.43308,19.12976,26.82894
760,3.75515,11.43337,19.12996,26.82912
770,3.756043,11.43366,19.13011,26.82917
780,3.756947,11.43396,19.13028,26.82933
790,3.757863,11.43426,19.13046,26.82943
800,3.758789,11.43456,19.13064,26.82956
810,3.759728,11.43487,19.13083,26.82974
820,3.760677,11.43519,19.13102,26.82982
830,3.761638,11.4355,19.1312,26.82997
840,3.762611,11.43582,19.1314,26.83016
850,3.763595,11.43614,19.13159,26.83023
860,3.76459,11.43647,19.13179,26.8304
870,3.765597,11.4368,19.13198,26.83051
880,3.766615,11.43714,19.13218,26.83065
890,3.767644,11.43748,19.13238,26.83085
900,3.768685,11.43782,19.13259,26.83094
910,3.769738,11.43816,19.1328,26.83111
920,3.770801,11.43851,19.13301,26.83131
930,3.771876,11.43887,19.13322,26.83139
940,3.772962,11.43923,19.13343,26.83158
