interp_r,interp_d,interp_mp1,interp_mp2,interp_mp3
0,3.651396,11.19504,18.84013,27.07926
10,3.651402,11.21872,18.77636,26.46993
20,3.651421,11.21872,18.77993,26.35454
30,3.651451,11.21263,18.79333,26.39268
40,3.651493,11.21264,18.77995,26.34695
50,3.651547,11.21266,18.77385,26.33505
60,3.651613,11.21268,18.77594,26.34697
70,3.651691,11.2127,18.77388,26.33508
80,3.651781,11.21273,18.77597,26.34119
90,3.651883,11.21277,18.77392,26.33718
100,3.651997,11.2128,18.77394,26.34122
110,3.652123,11.21284,18.77396,26.33721
120,3.652261,11.21289,18.77399,26.33515
130,3.652411,11.21294,18.77609,26.33725
140,3.652574,11.21299,18.77405,26.3352
150,3.652748,11.21305,18.77408,26.3373
160,3.652934,11.21311,18.77412,26.33525
170,3.653132,11.21317,18.77416,26.33735
180,3.653342,11.21324,18.7742,26.3353
190,3.653564,11.21331,18.77424,26.33533
200,3.653798,11.21339,18.77429,26.33537
210,3.654044,11.21347,18.77434,26.3354
220,3.654303,11.21355,18.77439,26.33751
230,3.654572,11.21364,18.77444,26.33547
240,3.654854,11.21373,18.77449,26.33551
250,3.655149,11.21383,18.77455,26.33555
260,3.655454,11.21393,18.77461,26.3356
270,3.655772,11.21403,18.77467,26.33564
280,3.656102,11.21414,18.77474,26.33569
290,3.656444,11.21425,18.7748,26.33573
300,3.656798,11.21437,18.77487,26.33578
310,3.657164,11.21449,18.77494,26.33583
320,3.657541,11.21461,18.77501,26.33589
330,3.657931,11.21474,18.77509,26.33594
340,3.658333,11.21487,18.77517,26.33599
350,3.658746,11.215,18.77525,26.33605
360,3.659172,11.21514,18.77534,26.33611
370,3.659609,11.21528,18.77542,26.33617
380,3.660058,11.21543,18.77551,26.33624
390,3.66052,11.21558,18.77559,26.3363
400,3.660993,11.21573,18.77569,26.33636
410,3.661478,11.21589,18.77578,26.33643
420,3.661975,11.21605,18.77588,26.3365
430,3.662484,11.21622,18.77598,26.33657
440,3.663005,11.21639,18.77608,26.33664
450,3.663538,11.21656,18.77618,26.33672
460,3.664083,11.21674,18.77629,26.3368
470,3.664639,11.21692,18.7764,26.33687
480,3.665208,11.21711,18.77651,26.33695
490,3.665788,11.2173,18.77662,26.33703
500,3.66638,11.21749,18.77674,26.33711
510,3.666984,11.21769,18.77686,26.3372
520,3.6676,11.21789,18.77698,26.33728
530,3.668228,11.21809,18.7771,26.33737
540,3.668867,11.2183,18.77722,26.33746
550,3.669519,11.21852,18.77735,26.33755
560,3.670182,11.21873,18.77748,26.33764
570,3.670857,11.21895,18.77761,26.33774
580,3.671544,11.21918,18.77774,26.33783
590,3.672243,11.21941,18.77788,26.33793
600,3.672953,11.21964,18.77802,26.33803
610,3.673676,11.21987,18.77816,26.33813
620,3.67441,11.22011,18.7783,26.33823
630,3.675156,11.22036,18.77845,26.33833
640,3.675914,11.22061,18.7786,26.33844
650,3.676683,11.22086,18.77875,26.33855
660,3.677464,11.22111,18.7789,26.33866
670,3.678257,11.22137,18.77906,26.33876
680,3.679062,11.22164,18.77921,26.33888
690,3.679878,11.2219,18.77937,26.33899
700,3.680707,11.22218,18.77954,26.33911
710,3.681547,11.22245,18.7797,26.33923
720,3.682398,11.22273,18.77987,26.33934
730,3.683262,11.22301,18.78004,26.33946
740,3.684137,11.2233,18.78021,26.33959
750,3.685024,11.22359,18.78038,26.33971
760,3.685922,11.22389,18.78056,26.33984
770,3.686832,11.22418,18.78074,26.33996
780,3.687754,11.22449,18.78092,26.34009
790,3.688687,11.22479,18.7811,26.34022
800,3.689633,11.2251,18.78128,26.34035
810,3.690589,11.22542,18.78147,26.34049
820,3.691558,11.22573,18.78166,26.34062
830,3.692538,11.22606,18.78185,26.34076
840,3.69353,11.22638,18.78205,26.3409
850,3.694533,11.22671,18.78225,26.34104
860,3.695548,11.22705,18.78245,26.34118
870,3.696574,11.22738,18.78265,26.34133
880,3.697612,11.22773,18.78285,26.34147
890,3.698661,11.22807,18.78306,26.34162
900,3.699723,11.22842,18.78327,26.34177
910,3.700795,11.22877,18.78348,26.34192
920,3.70188,11.22913,18.78369,26.34207
930,3.702975,11.22949,18.78391,26.34222
940,3.704082,11.22986,18.78412,26.34238
950,3.705201,11.23022,18.78434,26.34254
960,3.706332,11.2306,18.78457,26.3427
970,3.707474,11.23097,18.78479,26.34285
980,3.708628,11.23135,18.78502,26.34302
990,3.709792,11.23174,18.78525,26.34318
1000,3.710968,11.23212,18.78548,26.34335
1010,3.712156,11.23252,18.78572,26.34351
1020,3.713355,11.23291,18.78595,26.34368
1030,3.714565,11.23331,18.78619,26.34385
1040,3.715787,11.23372,18.78643,26.34402
1050,3.71702,11.23412,18.78668,26.3442
1060,3.718264,11.23454,18.78692,26.34437
1070,3.71952,11.23495,18.78717,26.34455
1080,3.720787,11.23537,18.78742,26.34473
1090,3.722066,11.23579,18.78767,26.34491
1100,3.723356,11.23622,18.78793,26.34509
1110,3.724657,11.23665,18.78819,26.34528
