interp_r,interp_d,interp_mp1,interp_mp2,interp_mp3
0,3.811909,11.7707,20.25877,27.68076
10,3.811915,11.70883,19.77,27.62905
20,3.811932,11.69454,19.59958,27.51714
30,3.811961,11.69715,19.57939,27.46162
40,3.812001,11.69456,19.57678,27.50339
50,3.812052,11.69422,19.58438,27.47332
60,3.812116,11.6946,19.57942,27.45903
70,3.81219,11.69424,19.57682,27.47334
80,3.812277,11.69465,19.57646,27.46166
90,3.812374,11.6943,19.57947,27.45907
100,3.812483,11.69433,19.57688,27.46667
110,3.812603,11.69437,19.5769,27.46171
120,3.812736,11.69442,19.57654,27.45912
130,3.81288,11.69446,19.57662,27.45876
140,3.813035,11.69451,19.57699,27.46177
150,3.8132,11.69457,19.57664,27.45918
160,3.813379,11.69462,19.57667,27.45883
170,3.813568,11.69469,19.57676,27.45923
180,3.813769,11.69475,19.57713,27.45926
190,3.813981,11.69482,19.57679,27.45891
200,3.814205,11.69489,19.57683,27.45932
210,3.81444,11.69497,19.57694,27.45936
220,3.814687,11.69505,19.57731,27.45901
230,3.814945,11.69514,19.57697,27.45911
240,3.815215,11.69522,19.57703,27.45946
250,3.815496,11.69531,19.57715,27.45912
260,3.815788,11.69541,19.57714,27.45921
270,3.816092,11.69551,19.5772,27.45959
280,3.816408,11.69561,19.57726,27.45925
290,3.816734,11.69572,19.5774,27.45933
300,3.817073,11.69583,19.57739,27.45972
310,3.817422,11.69594,19.57746,27.45939
320,3.817784,11.69606,19.57753,27.45946
330,3.818156,11.69618,19.5776,27.45987
340,3.81854,11.69631,19.57767,27.45954
350,3.818936,11.69644,19.57775,27.4596
360,3.819343,11.69657,19.57783,27.46004
370,3.819761,11.6967,19.57791,27.45971
380,3.82019,11.69685,19.578,27.45977
390,3.820632,11.69699,19.57808,27.45995
400,3.821084,11.69714,19.57817,27.4599
410,3.821548,11.69729,19.57826,27.45996
420,3.822023,11.69744,19.57835,27.46012
430,3.82251,11.6976,19.57845,27.46009
440,3.823008,11.69776,19.57854,27.46016
450,3.823517,11.69793,19.57864,27.46031
460,3.824039,11.6981,19.57875,27.46031
470,3.824571,11.69827,19.57885,27.46038
480,3.825114,11.69845,19.57896,27.46052
490,3.825669,11.69863,19.57906,27.46053
500,3.826236,11.69882,19.57917,27.46061
510,3.826813,11.69901,19.57929,27.46074
520,3.827403,11.6992,19.5794,27.46077
530,3.828003,11.6994,19.57952,27.46086
540,3.828614,11.6996,19.57964,27.46098
550,3.829237,11.6998,19.57976,27.46103
560,3.829871,11.70001,19.57989,27.46112
570,3.830517,11.70022,19.58001,27.46122
580,3.831175,11.70043,19.58014,27.4613
590,3.831842,11.70065,19.58027,27.46139
600,3.832522,11.70087,19.5804,27.46149
610,3.833214,11.7011,19.58054,27.46158
620,3.833916,11.70133,19.58068,27.46168
630,3.834629,11.70156,19.58081,27.46178
640,3.835353,11.7018,19.58096,27.46188
650,3.83609,11.70204,19.5811,27.46198
660,3.836837,11.70229,19.58125,27.46209
670,3.837596,11.70253,19.58139,27.4622
680,3.838366,11.70279,19.58154,27.4623
690,3.839146,11.70304,19.5817,27.46241
700,3.839939,11.7033,19.58185,27.46252
710,3.840742,11.70357,19.58201,27.46263
720,3.841557,11.70383,19.58217,27.46275
730,3.842383,11.7041,19.58233,27.46286
740,3.84322,11.70438,19.5825,27.46298
750,3.844069,11.70466,19.58266,27.4631
760,3.844928,11.70494,19.58283,27.46322
770,3.845799,11.70522,19.583,27.46334
780,3.846681,11.70551,19.58318,27.46346
790,3.847574,11.70581,19.58335,27.46359
800,3.848478,11.7061,19.58353,27.46371
810,3.849394,11.7064,19.58371,27.46384
820,3.85032,11.70671,19.58389,27.46397
830,3.851258,11.70702,19.58407,27.4641
840,3.852207,11.70733,19.58426,27.46424
850,3.853167,11.70764,19.58445,27.46437
860,3.854138,11.70796,19.58464,27.46451
870,3.855121,11.70829,19.58483,27.46465
880,3.856114,11.70861,19.58503,27.46478
890,3.857119,11.70894,19.58522,27.46493
900,3.858134,11.70928,19.58542,27.46507
910,3.859161,11.70962,19.58563,27.46521
920,3.860198,11.70996,19.58583,27.46536
930,3.861247,11.7103,19.58604,27.46551
940,3.862307,11.71065,19.58625,27.46565
950,3.863378,11.71101,19.58646,27.46581
960,3.86446,11.71136,19.58667,27.46595
970,3.865552,11.71172,19.58689,27.46611
980,3.866656,11.71209,19.5871,27.46626
990,3.867771,11.71245,19.58732,27.46642
1000,3.868897,11.71283,19.58755,27.46658
1010,3.870034,11.7132,19.58777,27.46674
1020,3.871182,11.71358,19.58799,27.4669
1030,3.87234,11.71396,19.58822,27.46706
1040,3.87351,11.71435,19.58846,27.46723
1050,3.874691,11.71474,19.58869,27.4674
1060,3.875882,11.71513,19.58892,27.46756
1070,3.877085,11.71553,19.58916,27.46773
1080,3.878299,11.71593,19.5894,27.4679
1090,3.879523,11.71634,19.58965,27.46807
1100,3.880758,11.71674,19.58989,27.46825
1110,3.882004,11.71716,19.59014,27.46843
1120,3.883261,11.71757,19.59038,27.46861
1130,3.884529,11.71799,19.59064,27.46878
1140,3.885808,11.71842,19.59089,27.46897
1150,3.887097,11.71884,19.59114,27.46914
1160,3.888397,11.71927,19.5914,27.46933
1170,3.889709,11.71971,19.59166,27.46951
1180,3.891031,11.72015,19.59192,27.4697
1190,3.892364,11.72059,19.59219,27.46989
1200,3.893707,11.72104,19.59245,27.47008
1210,3.895061,11.72149,19.59272,27.47027
1220,3.896427,11.72194,19.59299,27.47046
1230,3.897803,11.72239,19.59327,27.47066
1240,3.899189,11.72286,19.59354,27.47086
1250,3.900587,11.72332,19.59382,27.47106
1260,3.901994,11.72379,19.5941,27.47125
1270,3.903413,11.72426,19.59438,27.47146
1280,3.904843,11.72474,19.59467,27.47166
1290,3.906283,11.72521,19.59495,27.47186
1300,3.907733,11.7257,19.59524,27.47207
1310,3.909195,11.72618,19.59553,27.47227
1320,3.910667,11.72667,19.59583,27.47249
1330,3.91215,11.72717,19.59612,27.47269
1340,3.913643,11.72766,19.59642,27.47291
1350,3.915148,11.72817,19.59672,27.47312
1360,3.916662,11.72867,19.59702,27.47334
1370,3.918187,11.72918,19.59733,27.47356
1380,3.919723,11.72969,19.59763,27.47377
1390,3.921269,11.73021,19.59794,27.474
1400,3.922826,11.73073,19.59825,27.47422
1410,3.924393,11.73125,19.59857,27.47444
1420,3.925971,11.73178,19.59888,27.47466
1430,3.92756,11.73231,19.5992,27.47489
1440,3.929159,11.73285,19.59952,27.47512
1450,3.930768,11.73339,19.59984,27.47535
1460,3.932388,11.73393,19.60017,27.47558
1470,3.934018,11.73447,19.60049,27.47581
1480,3.935659,11.73502,19.60082,27.47605
1490,3.93731,11.73558,19.60115,27.47628
1500,3.938972,11.73613,19.60149,27.47652
1510,3.940644,11.73669,19.60182,27.47676
1520,3.942326,11.73726,19.60216,27.47701
1530,3.944019,11.73783,19.6025,27.47725
1540,3.945722,11.7384,19.60284,27.47749
1550,3.947436,11.73898,19.60319,27.47774
1560,3.94916,11.73955,19.60353,27.47799
1570,3.950893,11.74014,19.60388,27.47823
1580,3.952638,11.74072,19.60423,27.47849
1590,3.954393,11.74131,19.60459,27.47873
1600,3.956158,11.74191,19.60494,27.47899
1610,3.957933,11.74251,19.6053,27.47924
1620,3.959719,11.7431,19.60566,27.4795
1630,3.961515,11.74371,19.60602,27.47976
1640,3.963321,11.74432,19.60639,27.48002
1650,3.965137,11.74493,19.60676,27.48028
1660,3.966964,11.74555,19.60713,27.48055
1670,3.968801,11.74617,19.6075,27.48081
1680,3.970647,11.74679,19.60787,27.48108
1690,3.972504,11.74742,19.60825,27.48134
1700,3.974371,11.74805,19.60862,27.48161
1710,3.976249,11.74868,19.609,27.48188
1720,3.978136,11.74932,19.60939,27.48216
1730,3.980034,11.74996,19.60977,27.48243
1740,3.981941,11.75061,19.61016,27.48271
1750,3.983859,11.75126,19.61055,27.48298
1760,3.985786,11.75191,19.61094,27.48326
1770,3.987724,11.75257,19.61133,27.48355
1780,3.989672,11.75323,19.61173,27.48383
1790,3.99163,11.75389,19.61212,27.48411
1800,3.993598,11.75456,19.61252,27.4844
1810,3.995575,11.75523,19.61293,27.48468
1820,3.997563,11.75591,19.61333,27.48497
1830,3.999561,11.75659,19.61374,27.48526
1840,4.001569,11.75727,19.61415,27.48555
1850,4.003586,11.75795,19.61456,27.48585
1860,4.005614,11.75865,19.61497,27.48614
1870,4.007651,11.75934,19.61539,27.48644
1880,4.009698,11.76003,19.6158,27.48674
1890,4.011755,11.76074,19.61622,27.48704
1900,4.013823,11.76144,19.61665,27.48734
1910,4.015899,11.76215,19.61707,27.48764
1920,4.017986,11.76286,19.6175,27.48795
1930,4.020082,11.76358,19.61793,27.48825
1940,4.022189,11.76429,19.61836,27.48856
1950,4.024304,11.76502,19.61879,27.48887
1960,4.02643,11.76574,19.61923,27.48918
1970,4.028566,11.76647,19.61967,27.48949
1980,4.030711,11.76721,19.62011,27.48981
1990,4.032866,11.76795,19.62055,27.49012
2000,4.035031,11.76869,19.62099,27.49044
2010,4.037205,11.76943,19.62144,27.49076
2020,4.039389,11.77018,19.62189,27.49108
2030,4.041583,11.77093,19.62234,27.4914
2040,4.043786,11.77169,19.62279,27.49173
2050,4.045999,11.77245,19.62325,27.49205
2060,4.048221,11.77321,19.6237,27.49237
2070,4.050453,11.77398,19.62417,27.49271
2080,4.052695,11.77475,19.62463,27.49303
2090,4.054946,11.77552,19.62509,27.49337
2100,4.057207,11.7763,19.62556,27.4937
2110,4.059477,11.77708,19.62603,27.49403
2120,4.061757,11.77787,19.6265,27.49437
2130,4.064046,11.77866,19.62697,27.49471
2140,4.066345,11.77945,19.62745,27.49504
2150,4.068652,11.78024,19.62793,27.49539
2160,4.070971,11.78104,19.62841,27.49573
2170,4.073298,11.78185,19.62889,27.49607
2180,4.075634,11.78266,19.62937,27.49642
2190,4.07798,11.78347,19.62986,27.49677
2200,4.080335,11.78428,19.63035,27.49712
2210,4.0827,11.7851,19.63084,27.49747
2220,4.085073,11.78592,19.63133,27.49782
2230,4.087457,11.78675,19.63183,27.49817
2240,4.089849,11.78757,19.63233,27.49853
2250,4.092251,11.78841,19.63283,27.49889
2260,4.094663,11.78924,19.63333,27.49924
2270,4.097083,11.79008,19.63383,27.4996
2280,4.099512,11.79093,19.63434,27.49996
2290,4.101951,11.79177,19.63485,27.50033
2300,4.104399,11.79263,19.63536,27.5007
2310,4.106856,11.79348,19.63587,27.50106
2320,4.109323,11.79434,19.63639,27.50143
2330,4.111799,11.7952,19.6369,27.5018
2340,4.114284,11.79607,19.63742,27.50217
2350,4.116777,11.79694,19.63794,27.50254
2360,4.11928,11.79781,19.63847,27.50291
2370,4.121792,11.79868,19.639,27.50329
2380,4.124313,11.79957,19.63953,27.50367
2390,4.126844,11.80045,19.64006,27.50405
2400,4.129383,11.80134,19.64059,27.50443
2410,4.131931,11.80223,19.64112,27.50481
2420,4.134489,11.80312,19.64166,27.50519
2430,4.137055,11.80402,19.6422,27.50558
2440,4.13963,11.80492,19.64274,27.50597
2450,4.142215,11.80583,19.64329,27.50636
2460,4.144808,11.80674,19.64383,27.50674
2470,4.14741,11.80765,19.64438,27.50714
2480,4.150021,11.80857,19.64493,27.50753
2490,4.152641,11.80949,19.64548,27.50792
2500,4.15527,11.81041,19.64604,27.50832
2510,4.157908,11.81134,19.6466,27.50872
2520,4.160555,11.81227,19.64716,27.50912
2530,4.16321,11.8132,19.64772,27.50952
2540,4.165874,11.81414,19.64828,27.50992
2550,4.168547,11.81508,19.64885,27.51033
2560,4.171229,11.81603,19.64942,27.51073
2570,4.173919,11.81698,19.64999,27.51114
2580,4.176619,11.81793,19.65056,27.51155
2590,4.179327,11.81889,19.65114,27.51196
2600,4.182043,11.81985,19.65171,27.51237
2610,4.184769,11.82081,19.6523,27.51279
2620,4.187503,11.82178,19.65288,27.5132
2630,4.190246,11.82275,19.65346,27.51362
2640,4.192997,11.82372,19.65405,27.51404
2650,4.195757,11.8247,19.65463,27.51446
2660,4.198526,11.82568,19.65523,27.51488
2670,4.201302,11.82667,19.65582,27.5153
2680,4.204088,11.82766,19.65641,27.51573
2690,4.206883,11.82865,19.65701,27.51616
2700,4.209686,11.82965,19.65761,27.51658
2710,4.212498,11.83065,19.65821,27.51701
2720,4.215317,11.83165,19.65881,27.51744
2730,4.218146,11.83265,19.65942,27.51788
2740,4.220983,11.83367,19.66003,27.51831
2750,4.223828,11.83468,19.66064,27.51875
2760,4.226682,11.8357,19.66125,27.51919
2770,4.229544,11.83672,19.66187,27.51963
2780,4.232414,11.83775,19.66248,27.52007
2790,4.235293,11.83877,19.6631,27.52051
2800,4.23818,11.83981,19.66372,27.52095
2810,4.241076,11.84084,19.66435,27.5214
2820,4.24398,11.84188,19.66497,27.52185
2830,4.246893,11.84292,19.6656,27.5223
2840,4.249813,11.84397,19.66623,27.52274
2850,4.252742,11.84502,19.66686,27.5232
2860,4.25568,11.84608,19.6675,27.52365
2870,4.258625,11.84713,19.66813,27.52411
2880,4.261578,11.84819,19.66877,27.52456
2890,4.264541,11.84926,19.66941,27.52502
2900,4.26751,11.85033,19.67006,27.52548
2910,4.270489,11.8514,19.6707,27.52594
2920,4.273475,11.85247,19.67135,27.5264
2930,4.27647,11.85355,19.672,27.52687
2940,4.279473,11.85464,19.67265,27.52734
2950,4.282484,11.85572,19.67331,27.5278
2960,4.285502,11.85681,19.67396,27.52827
2970,4.288529,11.8579,19.67462,27.52874
2980,4.291564,11.859,19.67529,27.52921
2990,4.294608,11.8601,19.67595,27.52969
3000,4.297659,11.86121,19.67661,27.53016
3010,4.300718,11.86231,19.67728,27.53064
3020,4.303785,11.86342,19.67795,27.53112
3030,4.30686,11.86454,19.67862,27.5316
3040,4.309943,11.86566,19.6793,27.53208
3050,4.313034,11.86678,19.67997,27.53256
3060,4.316133,11.8679,19.68065,27.53305
3070,4.31924,11.86903,19.68133,27.53354
3080,4.322355,11.87017,19.68202,27.53403
3090,4.325477,11.8713,19.6827,27.53451
3100,4.328608,11.87244,19.68339,27.53501
3110,4.331746,11.87359,19.68408,27.5355
3120,4.334892,11.87473,19.68477,27.53599
3130,4.338046,11.87589,19.68546,27.53649
3140,4.341208,11.87704,19.68616,27.53699
3150,4.344378,11.8782,19.68686,27.53748
3160,4.347555,11.87936,19.68756,27.53799
3170,4.350739,11.88052,19.68826,27.53849
3180,4.353932,11.88169,19.68897,27.539
3190,4.357133,11.88286,19.68967,27.5395
3200,4.36034,11.88404,19.69038,27.54
3210,4.363556,11.88522,19.6911,27.54051
3220,4.36678,11.8864,19.69181,27.54102
3230,4.370011,11.88759,19.69252,27.54153
