interp_r,interp_d,interp_mp1,interp_mp2,interp_mp3
0,3.875341,11.94653,20.51637,28.23752
10,3.875343,11.90021,20.08715,28.08047
20,3.87536,11.88498,19.92882,27.97148
30,3.875389,11.88445,19.90223,27.91133
40,3.875428,11.885,19.89408,27.90263
50,3.875479,11.88448,19.89355,27.92729
60,3.875541,11.8845,19.90226,27.906
70,3.875614,11.88506,19.89693,27.9032
80,3.875699,11.88455,19.89414,27.91845
90,3.875794,11.88512,19.89416,27.90604
100,3.875902,11.88462,19.89364,27.90324
110,3.87602,11.88465,19.8942,27.90272
120,3.87615,11.8847,19.89422,27.90609
130,3.876291,11.88474,19.89425,27.90329
140,3.876444,11.88479,19.89374,27.90277
150,3.876607,11.88485,19.89377,27.90615
160,3.876782,11.8849,19.89435,27.90336
170,3.876968,11.88496,19.89438,27.90339
180,3.877165,11.88503,19.89388,27.90288
190,3.877374,11.88509,19.89392,27.90344
200,3.877594,11.88517,19.89397,27.90347
210,3.877825,11.88524,19.89455,27.90297
220,3.878068,11.88532,19.8946,27.90354
230,3.878322,11.8854,19.89411,27.90358
240,3.878586,11.88549,19.89416,27.90361
250,3.878863,11.88558,19.89421,27.90311
260,3.87915,11.88567,19.89481,27.90369
270,3.879449,11.88577,19.89433,27.90373
280,3.879759,11.88587,19.89439,27.90324
290,3.88008,11.88598,19.89445,27.90328
300,3.880413,11.88608,19.89451,27.90387
310,3.880757,11.8862,19.89458,27.90337
320,3.881112,11.88631,19.89465,27.90342
330,3.881478,11.88643,19.89472,27.90401
340,3.881855,11.88656,19.8948,27.90407
350,3.882244,11.88668,19.89487,27.90358
360,3.882644,11.88681,19.89495,27.90364
370,3.883055,11.88695,19.89503,27.90423
380,3.883477,11.88709,19.89511,27.90375
390,3.883912,11.88723,19.8952,27.90381
400,3.884356,11.88737,19.89528,27.90441
410,3.884812,11.88752,19.89537,27.90394
420,3.88528,11.88767,19.89546,27.904
430,3.885758,11.88783,19.89556,27.90407
440,3.886247,11.88799,19.89565,27.90468
