interp_r,interp_d,interp_mp1,interp_mp2,interp_mp3
0,3.867572,11.92272,20.47965,28.18701
10,3.867576,11.87677,20.04831,28.02624
20,3.867593,11.86166,19.88976,27.91656
30,3.867622,11.86115,19.86331,27.85687
40,3.867661,11.86168,19.85523,27.84827
50,3.867712,11.86118,19.85472,27.87274
60,3.867774,11.86172,19.85804,27.85159
70,3.867848,11.86122,19.85806,27.84881
80,3.867932,11.86125,19.85528,27.86395
90,3.868029,11.8618,19.8553,27.85163
100,3.868136,11.86132,19.8548,27.84885
110,3.868255,11.86135,19.85535,27.84835
120,3.868385,11.8614,19.85537,27.85168
130,3.868526,11.86144,19.8554,27.84891
140,3.868679,11.86149,19.85491,27.84841
150,3.868843,11.86155,19.85494,27.85174
160,3.869019,11.8616,19.8555,27.84898
170,3.869205,11.86166,19.85553,27.849
180,3.869402,11.86173,19.85505,27.84851
190,3.869612,11.8618,19.85509,27.84906
200,3.869832,11.86187,19.85513,27.84909
210,3.870064,11.86194,19.8557,27.8486
220,3.870307,11.86202,19.85522,27.84916
230,3.870561,11.8621,19.85527,27.84919
240,3.870827,11.86219,19.85533,27.84871
250,3.871104,11.86228,19.85538,27.84875
260,3.871392,11.86238,19.85544,27.84931
270,3.871691,11.86247,19.8555,27.84935
280,3.872002,11.86257,19.85555,27.84887
290,3.872324,11.86268,19.85562,27.84943
300,3.872657,11.86279,19.8562,27.84948
310,3.873001,11.8629,19.85575,27.84901
320,3.873357,11.86302,19.85582,27.84906
330,3.873724,11.86314,19.85589,27.84963
340,3.874102,11.86326,19.85596,27.84916
350,3.874492,11.86339,19.85604,27.84921
360,3.874893,11.86352,19.85612,27.84979
370,3.875305,11.86365,19.8562,27.84933
380,3.875728,11.86379,19.85628,27.84939
390,3.876163,11.86393,19.85637,27.84945
400,3.876608,11.86408,19.85645,27.85003
410,3.877066,11.86423,19.85654,27.84957
420,3.877533,11.86438,19.85663,27.84964
430,3.878013,11.86454,19.85672,27.85023
440,3.878504,11.8647,19.85682,27.84977
450,3.879005,11.86486,19.85692,27.84984
460,3.879519,11.86503,19.85702,27.84991
470,3.880043,11.8652,19.85712,27.84999
480,3.880578,11.86537,19.85723,27.85006
490,3.881125,11.86555,19.85733,27.85014
500,3.881683,11.86574,19.85744,27.85073
510,3.882252,11.86592,19.85755,27.8503
520,3.882832,11.86611,19.85767,27.85037
530,3.883424,11.8663,19.85778,27.85046
540,3.884026,11.8665,19.8579,27.85054
550,3.88464,11.8667,19.85802,27.85063
560,3.885265,11.86691,19.85814,27.85071
570,3.8859,11.86711,19.85827,27.8508
580,3.886548,11.86733,19.85839,27.85089
590,3.887206,11.86754,19.85852,27.85098
600,3.887876,11.86776,19.85865,27.85108
610,3.888556,11.86798,19.85879,27.85117
620,3.889248,11.86821,19.85892,27.85127
630,3.889951,11.86844,19.85906,27.85137
640,3.890665,11.86867,19.8592,27.85147
650,3.89139,11.86891,19.85934,27.85157
660,3.892126,11.86915,19.85948,27.85167
670,3.892874,11.8694,19.85963,27.85177
