interp_r,interp_d,interp_mp1,interp_mp2,interp_mp3
1420,3.619686,10.78547,18.01818,25.26037
1430,3.621416,10.78605,18.01852,25.26062
1440,3.623157,10.78664,18.01887,25.26087
1450,3.62491,10.78722,18.01923,25.26112
1460,3.626674,10.78782,18.01958,25.26137
1470,3.628449,10.78841,18.01994,25.26163
1480,3.630236,10.78901,18.0203,25.26188
1490,3.632033,10.78962,18.02066,25.26214
1500,3.633842,10.79023,18.02102,25.2624
1510,3.635663,10.79084,18.02139,25.26266
1520,3.637494,10.79145,18.02176,25.26292
1530,3.639336,10.79208,18.02213,25.26319
1540,3.64119,10.7927,18.0225,25.26346
1550,3.643054,10.79333,18.02288,25.26373
1560,3.64493,10.79396,18.02326,25.264
1570,3.646817,10.7946,18.02364,25.26427
1580,3.648715,10.79524,18.02402,25.26454
1590,3.650624,10.79588,18.02441,25.26481
1600,3.652544,10.79653,18.0248,25.26509
1610,3.654476,10.79718,18.02519,25.26537
1620,3.656418,10.79784,18.02558,25.26565
1630,3.658371,10.7985,18.02598,25.26593
1640,3.660335,10.79917,18.02638,25.26622
1650,3.66231,10.79984,18.02678,25.2665
1660,3.664296,10.80051,18.02718,25.26679
1670,3.666292,10.80118,18.02759,25.26708
1680,3.6683,10.80187,18.02799,25.26737
1690,3.670319,10.80255,18.0284,25.26767
1700,3.672348,10.80324,18.02882,25.26796
1710,3.674388,10.80393,18.02923,25.26825
1720,3.67644,10.80463,18.02965,25.26855
1730,3.678502,10.80533,18.03007,25.26885
1740,3.680574,10.80604,18.03049,25.26915
1750,3.682658,10.80674,18.03092,25.26946
1760,3.684752,10.80746,18.03134,25.26976
1770,3.686857,10.80817,18.03177,25.27007
1780,3.688973,10.8089,18.03221,25.27038
1790,3.691099,10.80962,18.03264,25.27069
1800,3.693237,10.81035,18.03308,25.271
1810,3.695384,10.81108,18.03352,25.27131
1820,3.697542,10.81182,18.03396,25.27163
1830,3.699711,10.81256,18.0344,25.27194
1840,3.701891,10.81331,18.03485,25.27226
1850,3.704081,10.81405,18.0353,25.27258
1860,3.706282,10.81481,18.03575,25.27291
1870,3.708493,10.81557,18.0362,25.27323
1880,3.710715,10.81633,18.03666,25.27355
1890,3.712947,10.81709,18.03712,25.27388
1900,3.71519,10.81786,18.03758,25.27421
1910,3.717443,10.81863,18.03805,25.27454
1920,3.719707,10.81941,18.03851,25.27488
1930,3.721981,10.82019,18.03898,25.27521
1940,3.724266,10.82098,18.03945,25.27555
1950,3.72656,10.82177,18.03992,25.27589
1960,3.728866,10.82256,18.0404,25.27622
1970,3.731182,10.82336,18.04087,25.27657
1980,3.733508,10.82416,18.04136,25.27691
1990,3.735844,10.82496,18.04184,25.27725
2000,3.738191,10.82577,18.04232,25.2776
2010,3.740548,10.82659,18.04281,25.27795
2020,3.742915,10.8274,18.0433,25.2783
2030,3.745293,10.82822,18.04379,25.27865
2040,3.74768,10.82905,18.04429,25.279
2050,3.750078,10.82988,18.04479,25.27936
2060,3.752486,10.83071,18.04529,25.27971
2070,3.754904,10.83155,18.04579,25.28007
2080,3.757332,10.83239,18.04629,25.28043
2090,3.759771,10.83323,18.0468,25.28079
2100,3.762219,10.83408,18.04731,25.28116
2110,3.764678,10.83494,18.04782,25.28152
2120,3.767147,10.83579,18.04834,25.28189
2130,3.769625,10.83666,18.04885,25.28226
2140,3.772114,10.83752,18.04938,25.28263
2150,3.774613,10.83839,18.0499,25.283
2160,3.777122,10.83926,18.05042,25.28338
2170,3.77964,10.84014,18.05095,25.28375
2180,3.782169,10.84102,18.05148,25.28413
2190,3.784708,10.84191,18.05201,25.28451
2200,3.787256,10.84279,18.05254,25.28489
2210,3.789814,10.84369,18.05308,25.28527
2220,3.792383,10.84458,18.05361,25.28566
2230,3.794961,10.84548,18.05416,25.28604
2240,3.797549,10.84639,18.0547,25.28643
2250,3.800147,10.8473,18.05524,25.28682
2260,3.802754,10.84821,18.05579,25.28721
2270,3.805371,10.84913,18.05634,25.28761
2280,3.807998,10.85005,18.0569,25.288
2290,3.810635,10.85097,18.05745,25.2884
2300,3.813281,10.8519,18.05801,25.2888
2310,3.815937,10.85283,18.05857,25.2892
2320,3.818603,10.85377,18.05913,25.2896
2330,3.821278,10.85471,18.0597,25.29
2340,3.823963,10.85566,18.06027,25.29041
2350,3.826658,10.8566,18.06084,25.29082
2360,3.829362,10.85756,18.06141,25.29123
2370,3.832076,10.85851,18.06199,25.29164
2380,3.834799,10.85947,18.06256,25.29205
2390,3.837532,10.86044,18.06314,25.29246
2400,3.840274,10.86141,18.06372,25.29288
2410,3.843026,10.86238,18.06431,25.29329
2420,3.845788,10.86336,18.06489,25.29371
2430,3.848558,10.86433,18.06548,25.29413
2440,3.851338,10.86532,18.06607,25.29456
2450,3.854127,10.86631,18.06667,25.29498
2460,3.856926,10.8673,18.06727,25.29541
2470,3.859735,10.86829,18.06786,25.29584
2480,3.862552,10.8693,18.06847,25.29626
2490,3.865379,10.8703,18.06907,25.2967
2500,3.868215,10.87131,18.06968,25.29713
2510,3.871061,10.87232,18.07028,25.29756
2520,3.873916,10.87333,18.0709,25.298
2530,3.87678,10.87435,18.07151,25.29844
2540,3.879653,10.87538,18.07212,25.29888
2550,3.882535,10.8764,18.07274,25.29932
2560,3.885427,10.87743,18.07336,25.29976
2570,3.888327,10.87847,18.07399,25.30021
2580,3.891237,10.87951,18.07461,25.30066
2590,3.894156,10.88055,18.07524,25.3011
2600,3.897084,10.8816,18.07587,25.30155
2610,3.900021,10.88265,18.0765,25.302
2620,3.902967,10.88371,18.07714,25.30246
2630,3.905922,10.88476,18.07777,25.30291
2640,3.908887,10.88583,18.07841,25.30337
2650,3.91186,10.8869,18.07906,25.30383
2660,3.914842,10.88797,18.0797,25.30429
2670,3.917833,10.88904,18.08035,25.30475
2680,3.920833,10.89012,18.081,25.30522
2690,3.923842,10.8912,18.08165,25.30568
2700,3.92686,10.89229,18.0823,25.30615
2710,3.929886,10.89338,18.08296,25.30662
2720,3.932922,10.89447,18.08362,25.30709
2730,3.935966,10.89557,18.08428,25.30756
2740,3.93902,10.89667,18.08495,25.30804
2750,3.942082,10.89778,18.08561,25.30851
2760,3.945152,10.89889,18.08628,25.30899
2770,3.948231,10.9,18.08695,25.30947
2780,3.95132,10.90112,18.08763,25.30995
2790,3.954417,10.90224,18.0883,25.31043
2800,3.957522,10.90337,18.08898,25.31091
2810,3.960636,10.9045,18.08966,25.3114
2820,3.963759,10.90563,18.09034,25.31189
2830,3.966891,10.90677,18.09103,25.31238
2840,3.970031,10.90791,18.09172,25.31287
2850,3.973179,10.90906,18.09241,25.31336
2860,3.976337,10.9102,18.0931,25.31386
2870,3.979502,10.91136,18.09379,25.31436
2880,3.982676,10.91251,18.09449,25.31485
2890,3.985859,10.91367,18.09519,25.31536
2900,3.98905,10.91484,18.09589,25.31586
2910,3.99225,10.91601,18.0966,25.31636
2920,3.995458,10.91718,18.09731,25.31687
2930,3.998675,10.91835,18.09801,25.31738
2940,4.001899,10.91953,18.09873,25.31788
2950,4.005133,10.92072,18.09944,25.31839
2960,4.008374,10.92191,18.10015,25.31891
2970,4.011625,10.9231,18.10088,25.31942
2980,4.014883,10.9243,18.1016,25.31994
2990,4.018149,10.9255,18.10232,25.32046
3000,4.021424,10.9267,18.10305,25.32097
3010,4.024708,10.92791,18.10378,25.3215
3020,4.027999,10.92912,18.10451,25.32202
3030,4.031298,10.93033,18.10524,25.32254
3040,4.034606,10.93155,18.10598,25.32307
3050,4.037922,10.93277,18.10672,25.3236
3060,4.041246,10.934,18.10746,25.32413
3070,4.044579,10.93523,18.1082,25.32466
3080,4.047918,10.93647,18.10894,25.32519
3090,4.051267,10.9377,18.10969,25.32573
3100,4.054624,10.93895,18.11044,25.32626
3110,4.057988,10.94019,18.11119,25.3268
3120,4.061361,10.94144,18.11195,25.32734
3130,4.064741,10.9427,18.11271,25.32788
3140,4.06813,10.94395,18.11347,25.32842
3150,4.071527,10.94522,18.11423,25.32897
3160,4.074931,10.94648,18.11499,25.32951
3170,4.078343,10.94775,18.11576,25.33007
3180,4.081764,10.94903,18.11653,25.33061
3190,4.085192,10.9503,18.1173,25.33117
3200,4.088628,10.95158,18.11807,25.33172
3210,4.092072,10.95287,18.11885,25.33228
3220,4.095524,10.95416,18.11963,25.33283
3230,4.098984,10.95545,18.12041,25.33339
3240,4.102451,10.95675,18.12119,25.33395
3250,4.105927,10.95805,18.12198,25.33451
3260,4.109409,10.95935,18.12277,25.33508
3270,4.1129,10.96066,18.12356,25.33565
3280,4.116398,10.96197,18.12435,25.33621
3290,4.119905,10.96329,18.12515,25.33678
3300,4.123418,10.9646,18.12595,25.33735
3310,4.12694,10.96593,18.12675,25.33792
3320,4.130469,10.96726,18.12755,25.3385
3330,4.134006,10.96859,18.12836,25.33907
3340,4.13755,10.96992,18.12916,25.33965
3350,4.141102,10.97126,18.12997,25.34023
3360,4.144661,10.9726,18.13079,25.34081
3370,4.148228,10.97395,18.1316,25.34139
3380,4.151803,10.9753,18.13242,25.34198
3390,4.155385,10.97665,18.13324,25.34256
3400,4.158974,10.97801,18.13406,25.34315
3410,4.162571,10.97937,18.13488,25.34375
3420,4.166175,10.98074,18.13571,25.34434
3430,4.169787,10.98211,18.13654,25.34493
3440,4.173406,10.98348,18.13737,25.34552
3450,4.177032,10.98486,18.1382,25.34612
3460,4.180666,10.98624,18.13904,25.34672
3470,4.184308,10.98763,18.13988,25.34732
3480,4.187956,10.98901,18.14072,25.34792
3490,4.191612,10.99041,18.14156,25.34853
3500,4.195275,10.9918,18.14241,25.34913
3510,4.198946,10.9932,18.14326,25.34973
3520,4.202623,10.99461,18.14411,25.35034
3530,4.206309,10.99601,18.14496,25.35095
3540,4.210001,10.99743,18.14581,25.35156
3550,4.2137,10.99884,18.14667,25.35218
3560,4.217407,11.00026,18.14753,25.35279
3570,4.22112,11.00168,18.1484,25.35341
3580,4.224841,11.00311,18.14926,25.35403
3590,4.228569,11.00454,18.15013,25.35465
3600,4.232304,11.00597,18.151,25.35528
3610,4.236046,11.00741,18.15187,25.3559
3620,4.239795,11.00885,18.15274,25.35653
3630,4.243552,11.0103,18.15362,25.35715
3640,4.247315,11.01175,18.1545,25.35778
3650,4.251085,11.0132,18.15538,25.35841
3660,4.254863,11.01466,18.15626,25.35904
3670,4.258646,11.01612,18.15715,25.35968
3680,4.262438,11.01759,18.15804,25.36032
3690,4.266236,11.01905,18.15893,25.36095
3700,4.270041,11.02053,18.15982,25.36159
3710,4.273853,11.022,18.16072,25.36223
3720,4.277671,11.02348,18.16162,25.36288
3730,4.281497,11.02497,18.16252,25.36352
3740,4.285329,11.02645,18.16342,25.36417
3750,4.289168,11.02794,18.16432,25.36481
3760,4.293015,11.02944,18.16523,25.36547
3770,4.296868,11.03094,18.16614,25.36612
3780,4.300727,11.03244,18.16705,25.36677
3790,4.304594,11.03395,18.16797,25.36742
3800,4.308467,11.03546,18.16889,25.36808
3810,4.312346,11.03697,18.16981,25.36874
3820,4.316233,11.03849,18.17073,25.3694
3830,4.320126,11.04001,18.17165,25.37006
3840,4.324026,11.04153,18.17258,25.37073
3850,4.327932,11.04306,18.17351,25.37139
3860,4.331845,11.0446,18.17443,25.37206
3870,4.335765,11.04613,18.17537,25.37273
3880,4.339691,11.04767,18.17631,25.3734
3890,4.343624,11.04922,18.17725,25.37407
3900,4.347563,11.05077,18.17819,25.37474
3910,4.351509,11.05231,18.17913,25.37542
3920,4.355462,11.05387,18.18007,25.37609
3930,4.359421,11.05543,18.18102,25.37677
3940,4.363386,11.05699,18.18197,25.37745
3950,4.367358,11.05856,18.18292,25.37814
3960,4.371336,11.06013,18.18388,25.37882
3970,4.37532,11.0617,18.18484,25.37951
3980,4.379312,11.06328,18.1858,25.3802
3990,4.383309,11.06486,18.18676,25.38088
4000,4.387314,11.06645,18.18772,25.38157
4010,4.391324,11.06804,18.18869,25.38227
4020,4.39534,11.06963,18.18966,25.38296
4030,4.399363,11.07123,18.19063,25.38366
4040,4.403392,11.07283,18.1916,25.38436
4050,4.407427,11.07443,18.19258,25.38506
4060,4.411469,11.07604,18.19356,25.38575
4070,4.415517,11.07765,18.19454,25.38646
4080,4.419571,11.07926,18.19552,25.38716
4090,4.423632,11.08088,18.19651,25.38787
4100,4.427699,11.0825,18.19749,25.38858
4110,4.431771,11.08413,18.19848,25.38929
4120,4.435851,11.08576,18.19948,25.39
4130,4.439936,11.08739,18.20047,25.39071
4140,4.444026,11.08903,18.20147,25.39142
4150,4.448124,11.09067,18.20247,25.39214
4160,4.452228,11.09232,18.20347,25.39286
4170,4.456337,11.09397,18.20448,25.39358
4180,4.460453,11.09562,18.20548,25.3943
4190,4.464575,11.09727,18.20649,25.39502
4200,4.468702,11.09893,18.2075,25.39575
4210,4.472836,11.1006,18.20852,25.39647
4220,4.476975,11.10226,18.20953,25.3972
4230,4.481121,11.10394,18.21055,25.39793
4240,4.485273,11.10561,18.21157,25.39866
4250,4.48943,11.10729,18.2126,25.39939
4260,4.493594,11.10897,18.21362,25.40013
4270,4.497764,11.11065,18.21465,25.40087
4280,4.501939,11.11234,18.21568,25.40161
4290,4.50612,11.11404,18.21671,25.40235
