interp_r,interp_d,interp_mp1,interp_mp2
4490,3.247159,4.831656,6.996104
4500,3.253294,4.835783,6.998954
4510,3.259432,4.839914,7.001809
4520,3.265571,4.844051,7.00467
4530,3.271712,4.848194,7.007535
4540,3.277855,4.852343,7.010406
4550,3.284001,4.856496,7.013282
4560,3.290148,4.860656,7.016163
4570,3.296297,4.864821,7.019049
4580,3.302448,4.868991,7.02194
4590,3.308602,4.873168,7.024837
4600,3.314757,4.877349,7.027738
4610,3.320914,4.881536,7.030645
4620,3.327073,4.885729,7.033557
4630,3.333234,4.889927,7.036474
4640,3.339397,4.894131,7.039396
4650,3.345562,4.89834,7.042323
4660,3.351728,4.902555,7.045255
4670,3.357897,4.906775,7.048192
4680,3.364067,4.911,7.051134
4690,3.37024,4.91523,7.054081
4700,3.376414,4.919466,7.057034
4710,3.38259,4.923708,7.059991
4720,3.388768,4.927955,7.062953
4730,3.394947,4.932207,7.065921
4740,3.401129,4.936465,7.068894
4750,3.407312,4.940728,7.071872
4760,3.413497,4.944996,7.074854
4770,3.419684,4.949269,7.077842
4780,3.425872,4.953548,7.080834
4790,3.432063,4.957832,7.083832
4800,3.438255,4.962121,7.086834
4810,3.444449,4.966415,7.089842
4820,3.450644,4.970715,7.092854
4830,3.456842,4.975019,7.095872
4840,3.463041,4.97933,7.098895
4850,3.469241,4.983645,7.101922
4860,3.475444,4.987966,7.104955
4870,3.481648,4.992291,7.107992
4880,3.487854,4.996622,7.111034
4890,3.494061,5.000957,7.114081
4900,3.50027,5.005298,7.117134
4910,3.506481,5.009644,7.120191
4920,3.512694,5.013995,7.123253
4930,3.518908,5.018351,7.12632
4940,3.525123,5.022712,7.129392
4950,3.531341,5.027079,7.132468
4960,3.53756,5.03145,7.13555
4970,3.54378,5.035826,7.138637
4980,3.550002,5.040207,7.141727
4990,3.556226,5.044594,7.144824
5000,3.562451,5.048985,7.147925
5010,3.568678,5.053381,7.151031
5020,3.574906,5.057782,7.154142
5030,3.581136,5.062188,7.157258
5040,3.587368,5.066599,7.160378
5050,3.593601,5.071015,7.163504
5060,3.599835,5.075436,7.166634
5070,3.606071,5.079861,7.169769
