interp_r,interp_d,interp_mp1,interp_mp2
5570,3.941648,5.45174,7.621605
5580,3.947917,5.456275,7.624849
5590,3.954188,5.460814,7.628099
5600,3.960459,5.465359,7.631352
5610,3.966732,5.469907,7.63461
5620,3.973006,5.474459,7.637873
5630,3.979281,5.479016,7.64114
5640,3.985558,5.483577,7.644411
5650,3.991836,5.488142,7.647686
5660,3.998115,5.492712,7.650966
5670,4.004395,5.497286,7.65425
5680,4.010676,5.501864,7.657539
5690,4.016959,5.506446,7.660832
5700,4.023243,5.511033,7.66413
5710,4.029528,5.515624,7.667432
5720,4.035815,5.520219,7.670738
5730,4.042102,5.524818,7.674049
5740,4.048391,5.529422,7.677364
5750,4.054681,5.534029,7.680683
5760,4.060972,5.538641,7.684007
5770,4.067264,5.543258,7.687335
5780,4.073557,5.547878,7.690667
5790,4.079852,5.552503,7.694004
5800,4.086148,5.557131,7.697344
5810,4.092445,5.561763,7.700689
5820,4.098743,5.5664,7.704039
5830,4.105042,5.571041,7.707393
5840,4.111342,5.575686,7.710751
5850,4.117643,5.580335,7.714114
5860,4.123946,5.584988,7.717481
5870,4.13025,5.589645,7.720851
5880,4.136554,5.594306,7.724226
5890,4.14286,5.598971,7.727606
5900,4.149168,5.603641,7.73099
5910,4.155475,5.608314,7.734378
5920,4.161785,5.612991,7.73777
5930,4.168095,5.617673,7.741167
5940,4.174406,5.622358,7.744567
5950,4.180718,5.627047,7.747972
5960,4.187032,5.631741,7.751382
5970,4.193347,5.636437,7.754796
5980,4.199662,5.641139,7.758214
5990,4.205979,5.645844,7.761635
6000,4.212296,5.650553,7.765061
6010,4.218615,5.655266,7.768492
6020,4.224935,5.659983,7.771926
6030,4.231256,5.664704,7.775365
6040,4.237578,5.669428,7.778808
6050,4.243901,5.674157,7.782255
6060,4.250225,5.67889,7.785706
6070,4.25655,5.683626,7.789162
6080,4.262876,5.688366,7.792622
6090,4.269203,5.69311,7.796085
6100,4.27553,5.697858,7.799553
6110,4.281859,5.70261,7.803025
6120,4.288189,5.707365,7.806501
6130,4.29452,5.712124,7.809981
6140,4.300852,5.716888,7.813466
6150,4.307186,5.721655,7.816954
6160,4.313519,5.726426,7.820446
6170,4.319854,5.7312,7.823944
6180,4.32619,5.735978,7.827444
6190,4.332527,5.74076,7.830949
6200,4.338865,5.745545,7.834458
6210,4.345203,5.750335,7.837972
6220,4.351543,5.755128,7.841489
6230,4.357884,5.759925,7.84501
6240,4.364225,5.764726,7.848536
6250,4.370568,5.76953,7.852065
6260,4.376912,5.774338,7.855598
6270,4.383256,5.77915,7.859136
6280,4.389602,5.783965,7.862678
6290,4.395948,5.788784,7.866223
6300,4.402295,5.793607,7.869773
6310,4.408643,5.798433,7.873327
6320,4.414992,5.803263,7.876884
