interp_r,interp_d,interp_mp1,interp_mp2
9610,6.562838,6.54145,6.833678
9620,6.569252,6.547892,6.839873
9630,6.575665,6.554334,6.84607
9640,6.58208,6.560775,6.852268
9650,6.588494,6.567217,6.858466
9660,6.594909,6.57366,6.864665
9670,6.601325,6.580102,6.870864
9680,6.60774,6.586545,6.877065
9690,6.614156,6.592989,6.883266
9700,6.620572,6.599432,6.889468
9710,6.626988,6.605876,6.895671
9720,6.633405,6.61232,6.901875
9730,6.639822,6.618764,6.90808
9740,6.646239,6.625209,6.914285
9750,6.652658,6.631654,6.920491
9760,6.659075,6.638099,6.926697
9770,6.665494,6.644544,6.932904
9780,6.671913,6.65099,6.939113
9790,6.678331,6.657436,6.945321
9800,6.68475,6.663882,6.951531
9810,6.691169,6.670328,6.957741
9820,6.69759,6.676775,6.963953
9830,6.704009,6.683221,6.970165
9840,6.710429,6.689668,6.976378
9850,6.71685,6.696115,6.982592
9860,6.72327,6.702562,6.988806
9870,6.729692,6.709009,6.995021
9880,6.736113,6.715456,7.001236
9890,6.742534,6.721904,7.007453
9900,6.748957,6.728352,7.01367
9910,6.755379,6.7348,7.019888
9920,6.761801,6.741249,7.026107
9930,6.768223,6.747698,7.032327
9940,6.774647,6.754148,7.038547
9950,6.781071,6.760597,7.044768
9960,6.787494,6.767046,7.050989
9970,6.793918,6.773496,7.057211
9980,6.800342,6.779946,7.063434
9990,6.806766,6.786396,7.069658
