interp_r,interp_d,interp_mp1,interp_mp2
4600,4.334865,9.673535,15.59316
4610,4.339602,9.675658,15.59448
4620,4.344345,9.677785,15.5958
4630,4.349092,9.679916,15.59712
4640,4.353845,9.682053,15.59845
4650,4.358603,9.684194,15.59978
4660,4.363366,9.686339,15.60112
4670,4.368134,9.688489,15.60245
4680,4.372906,9.690643,15.60379
4690,4.377683,9.692801,15.60513
4700,4.382466,9.694963,15.60647
4710,4.387253,9.697127,15.60782
4720,4.392046,9.699297,15.60917
4730,4.396844,9.70147,15.61051
4740,4.401646,9.703648,15.61187
4750,4.406453,9.70583,15.61322
4760,4.411265,9.708015,15.61458
4770,4.416081,9.710207,15.61594
4780,4.420903,9.712404,15.61731
4790,4.42573,9.714605,15.61868
4800,4.430561,9.71681,15.62005
4810,4.435397,9.719017,15.62142
4820,4.440238,9.721228,15.6228
4830,4.445084,9.72344,15.62418
4840,4.449934,9.725657,15.62556
4850,4.45479,9.727879,15.62694
4860,4.45965,9.730106,15.62833
4870,4.464514,9.732341,15.62972
4880,4.469383,9.734581,15.63111
4890,4.474257,9.736823,15.6325
4900,4.479136,9.739067,15.6339
4910,4.484018,9.741312,15.6353
4920,4.488906,9.743562,15.6367
4930,4.493799,9.745816,15.63811
4940,4.498696,9.748075,15.63952
4950,4.503597,9.75034,15.64093
4960,4.508504,9.752607,15.64234
4970,4.513414,9.754878,15.64376
4980,4.51833,9.757154,15.64518
4990,4.523249,9.759433,15.6466
5000,4.528173,9.761717,15.64802
5010,4.533102,9.764005,15.64945
5020,4.538035,9.766296,15.65088
5030,4.542973,9.768593,15.65231
5040,4.547915,9.770893,15.65375
5050,4.552862,9.773197,15.65519
5060,4.557813,9.775505,15.65663
5070,4.562768,9.777817,15.65808
5080,4.567728,9.780132,15.65952
5090,4.572691,9.782452,15.66097
5100,4.57766,9.784776,15.66243
5110,4.582633,9.787107,15.66388
5120,4.58761,9.789441,15.66534
5130,4.592591,9.79178,15.66679
5140,4.597577,9.794121,15.66825
5150,4.602567,9.796464,15.66972
5160,4.607561,9.798812,15.67119
5170,4.61256,9.801165,15.67266
5180,4.617562,9.803521,15.67414
5190,4.62257,9.805882,15.67561
5200,4.627581,9.808246,15.67709
5210,4.632596,9.810614,15.67857
5220,4.637616,9.812986,15.68006
5230,4.64264,9.815363,15.68154
5240,4.647667,9.817743,15.68303
5250,4.652699,9.820127,15.68452
5260,4.657736,9.822513,15.68602
5270,4.662776,9.824902,15.68752
5280,4.66782,9.827295,15.68902
5290,4.672869,9.829695,15.69053
5300,4.677921,9.8321,15.69203
5310,4.682978,9.834509,15.69354
5320,4.688039,9.836921,15.69505
5330,4.693104,9.839336,15.69656
5340,4.698173,9.841756,15.69808
5350,4.703245,9.84418,15.6996
5360,4.708322,9.846608,15.70112
5370,4.713403,9.84904,15.70265
5380,4.718487,9.851476,15.70417
5390,4.723576,9.853914,15.7057
5400,4.728669,9.856358,15.70724
5410,4.733765,9.858805,15.70877
5420,4.738866,9.861257,15.71031
