interp_r,interp_d,interp_mp1,interp_mp2
0,2.253953,6.761858,11.26976
10,2.253971,6.761873,11.26977
20,2.254003,6.761892,11.26979
30,2.254052,6.761914,11.26981
40,2.25412,6.761941,11.26983
50,2.254208,6.761972,11.26986
60,2.254316,6.762009,11.26988
70,2.254442,6.762052,11.26991
80,2.254589,6.7621,11.26994
90,2.254755,6.762155,11.26998
100,2.254941,6.762217,11.27002
110,2.255145,6.762286,11.27006
120,2.25537,6.762361,11.2701
130,2.255614,6.762443,11.27015
140,2.255878,6.76253,11.2702
150,2.256161,6.762625,11.27026
160,2.256459,6.762726,11.27032
170,2.256781,6.762833,11.27038
180,2.257122,6.762947,11.27045
190,2.257483,6.763068,11.27052
200,2.257863,6.763195,11.2706
210,2.258263,6.763328,11.27068
220,2.258682,6.763467,11.27077
230,2.259121,6.763613,11.27085
240,2.259575,6.763766,11.27095
250,2.260052,6.763926,11.27104
260,2.260549,6.764092,11.27114
270,2.261065,6.764265,11.27125
280,2.261601,6.764444,11.27135
290,2.262152,6.76463,11.27146
300,2.262726,6.764822,11.27158
310,2.26332,6.76502,11.2717
320,2.263933,6.765224,11.27182
330,2.264562,6.765436,11.27195
340,2.265213,6.765655,11.27208
350,2.265884,6.765879,11.27221
360,2.26657,6.76611,11.27235
370,2.267279,6.766348,11.27249
380,2.268008,6.766592,11.27264
390,2.268752,6.766842,11.27279
400,2.269519,6.767099,11.27294
410,2.270306,6.767363,11.2731
420,2.271107,6.767634,11.27326
430,2.271931,6.767911,11.27343
440,2.272771,6.768195,11.2736
450,2.273634,6.768483,11.27378
460,2.274512,6.768775,11.27395
470,2.275413,6.769073,11.27413
480,2.276329,6.769378,11.27432
490,2.277264,6.769692,11.27451
500,2.278222,6.770014,11.2747
510,2.279195,6.770343,11.2749
520,2.280191,6.770679,11.2751
530,2.281201,6.771019,11.2753
540,2.282232,6.771367,11.27551
550,2.283281,6.771721,11.27573
560,2.284352,6.772082,11.27594
570,2.285438,6.772449,11.27616
580,2.286544,6.772823,11.27639
590,2.287668,6.773203,11.27662
600,2.288811,6.77359,11.27685
610,2.289977,6.773983,11.27709
620,2.291157,6.774383,11.27733
630,2.292356,6.774789,11.27757
640,2.293573,6.775201,11.27782
650,2.294809,6.77562,11.27807
660,2.296064,6.776047,11.27833
670,2.297338,6.77648,11.27859
680,2.29863,6.77692,11.27885
690,2.299937,6.777364,11.27912
700,2.301266,6.777812,11.27939
710,2.302613,6.778265,11.27967
720,2.303978,6.778726,11.27995
730,2.305363,6.779195,11.28023
740,2.306762,6.779672,11.28052
750,2.308182,6.780157,11.2808
760,2.309622,6.780647,11.2811
770,2.311076,6.781144,11.28139
780,2.312551,6.781647,11.28169
790,2.314042,6.782156,11.28199
800,2.315553,6.782672,11.2823
810,2.317083,6.783195,11.28261
820,2.318628,6.783725,11.28293
830,2.32019,6.784262,11.28325
840,2.321774,6.784803,11.28358
850,2.323373,6.785348,11.28391
860,2.32499,6.785899,11.28424
870,2.326627,6.786457,11.28458
880,2.328279,6.787023,11.28492
890,2.32995,6.787598,11.28526
900,2.331638,6.788179,11.28561
910,2.333344,6.788766,11.28596
920,2.33507,6.78936,11.28632
930,2.336811,6.78996,11.28668
940,2.33857,6.790567,11.28705
950,2.340347,6.791181,11.28741
960,2.34214,6.7918,11.28779
970,2.343949,6.792422,11.28816
980,2.345778,6.79305,11.28854
990,2.347623,6.793685,11.28893
1000,2.349487,6.794328,11.28932
1010,2.351368,6.794979,11.28971
1020,2.353264,6.795638,11.2901
1030,2.355179,6.796304,11.2905
1040,2.357112,6.796975,11.29091
1050,2.359059,6.797652,11.29131
1060,2.361026,6.798332,11.29173
1070,2.363007,6.799018,11.29214
1080,2.365008,6.799711,11.29256
1090,2.367024,6.800412,11.29298
1100,2.369056,6.801121,11.29341
1110,2.371108,6.801838,11.29384
1120,2.373174,6.802561,11.29428
1130,2.375257,6.80329,11.29472
1140,2.377357,6.804024,11.29516
1150,2.379474,6.804761,11.29561
1160,2.381609,6.805505,11.29605
1170,2.383759,6.806255,11.2965
1180,2.385926,6.807014,11.29696
1190,2.388109,6.807782,11.29741
1200,2.390307,6.808557,11.29788
1210,2.392522,6.809339,11.29834
1220,2.394755,6.810126,11.29882
1230,2.397003,6.810918,11.29929
1240,2.399269,6.811713,11.29977
1250,2.401548,6.812512,11.30026
1260,2.403846,6.81332,11.30075
1270,2.406159,6.814138,11.30124
1280,2.408487,6.814963,11.30174
1290,2.410833,6.815794,11.30224
1300,2.413193,6.816628,11.30275
1310,2.41557,6.817466,11.30325
1320,2.417963,6.818312,11.30377
1330,2.420371,6.819168,11.30428
1340,2.422795,6.820032,11.3048
1350,2.425236,6.820901,11.30532
1360,2.427691,6.821773,11.30585
1370,2.430162,6.82265,11.30639
1380,2.432649,6.823535,11.30692
1390,2.43515,6.824429,11.30746
1400,2.437668,6.825331,11.308
1410,2.440201,6.826239,11.30855
1420,2.44275,6.827149,11.3091
1430,2.445313,6.828065,11.30965
1440,2.447893,6.828986,11.3102
1450,2.450487,6.829914,11.31076
1460,2.453097,6.830849,11.31133
1470,2.455721,6.831792,11.3119
1480,2.458361,6.832743,11.31247
1490,2.461016,6.833702,11.31305
1500,2.463686,6.834665,11.31363
1510,2.46637,6.835632,11.31422
1520,2.46907,6.836604,11.31481
1530,2.471784,6.837584,11.3154
1540,2.474514,6.838574,11.316
1550,2.477258,6.839571,11.3166
1560,2.480016,6.840573,11.31721
1570,2.48279,6.841578,11.31782
1580,2.485578,6.842588,11.31843
1590,2.48838,6.843604,11.31905
1600,2.491197,6.844627,11.31967
1610,2.494029,6.845658,11.32029
1620,2.496875,6.846695,11.32091
1630,2.499735,6.847737,11.32154
1640,2.502609,6.848786,11.32217
1650,2.505498,6.849843,11.32281
1660,2.508401,6.850907,11.32345
1670,2.511318,6.851979,11.3241
1680,2.514249,6.853055,11.32475
1690,2.517194,6.854136,11.3254
1700,2.520154,6.855223,11.32606
1710,2.523127,6.856315,11.32673
1720,2.526114,6.857413,11.3274
1730,2.529115,6.858519,11.32807
1740,2.53213,6.859631,11.32874
1750,2.535158,6.860749,11.32942
1760,2.538201,6.861873,11.3301
1770,2.541257,6.863003,11.33078
1780,2.544326,6.86414,11.33147
1790,2.547409,6.865282,11.33216
1800,2.550506,6.866433,11.33285
1810,2.553616,6.867593,11.33355
1820,2.556739,6.868759,11.33426
1830,2.559876,6.86993,11.33496
1840,2.563026,6.871105,11.33568
1850,2.56619,6.872284,11.3364
1860,2.569366,6.873469,11.33712
1870,2.572556,6.874662,11.33784
1880,2.575759,6.875861,11.33857
